Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2024,2024.1,2024.2,2024.3,2024.4,2024.5,2024.6,2024.7,2024.8,2024.9,2024.10,2024.11,2024.12,2024.13,2024.14,2024.15,2024.16
Luis Cohen,21,"6' 0""",172,A,BOS,3.1,6.9,37%,12.7%,3.88,359,21,20,88.2,68,7,34,30,68,1.47,3.45,1.11
Zach Logue,28,"6' 0""",165,AAA,ATL,2.3,8.5,47%,9.0%,3.59,355,22,12,88.1,70,8,27,23,83,1.00,2.75,1.05
Luis Cessa,32,"6' 0""",222,AAA,PIT,4.1,6.3,-,-,5.11,383,23,20,88.1,90,13,45,40,62,0.88,4.58,1.47
Daniel Corniel,20,"6' 0""",177,A,MIL,4.3,8.7,42%,11.0%,3.82,375,19,19,88.1,80,6,46,42,85,1.27,4.69,1.38
Anthony Veneziano,26,"6' 5""",205,AAA,KC,4.3,7.6,53%,9.4%,4.83,386,30,14,88.0,89,12,48,42,74,1.02,4.91,1.49
Patrick Reilly,22,"6' 3""",208,A+,PIT,4.2,11.1,31%,15.1%,4.25,358,19,19,88.0,61,14,33,41,108,1.67,3.38,1.16
Edgar Portes,21,"6' 2""",165,A+,BAL,4.6,11.7,43%,15.6%,3.02,384,23,12,87.2,73,5,34,45,114,1.60,3.49,1.35
Hayden Minton,23,"6' 3""",210,A,DET,3.8,11.0,50%,12.5%,3.11,399,21,19,87.2,96,5,41,37,107,1.16,4.21,1.52
Nestor Lorant,22,"6' 2""",205,A,CIN,2.3,10.2,46%,19.9%,2.27,328,22,7,87.2,54,3,14,22,99,1.13,1.44,0.87
Jake Peppers,22,"6' 3""",160,A,CWS,4.2,7.7,50%,11.6%,4.18,379,20,20,87.2,82,7,43,41,75,0.85,4.41,1.40
Jake Garland,23,"6' 5""",236,A+,OAK,3.3,5.5,52%,6.7%,4.53,381,23,12,87.2,86,8,40,32,54,0.70,4.11,1.35
Derek Diamond,23,"6' 2""",200,A+,PIT,1.5,8.1,47%,13.5%,4.18,373,21,17,87.2,97,15,47,15,79,1.08,4.83,1.28
Jackson Baumeister,22,"6' 4""",224,A+,TB,4.8,11.8,-,-,3.02,373,23,21,87.2,63,4,27,47,115,1.33,2.77,1.25
Player,Age,Ht.,Wt.,Lvl.,Org,BB/9,K/9,GB%,SwSt%,FIP,BF,G,GS,IP,H,HR,ER,BB,K,GO/AO,ERA,WHIP
Jace Kaminska,22,"6' 2""",235,A,COL,1.2,10.7,49%,14.2%,2.26,353,17,16,87.1,80,6,27,12,104,0.94,2.78,1.05
Kyle Scott,22,"6' 1""",220,A,CLE,2.6,8.7,27%,11.9%,3.38,359,22,11,87.0,71,7,27,25,84,1.88,2.79,1.10
Roque Gutierrez,21,"5' 9""",177,A,LAD,3.5,11.2,35%,11.5%,3.83,386,25,4,86.2,88,12,52,34,108,1.24,5.40,1.41
