Player,Age,Ht.,Wt.,Lvl.,Org,BB/9,K/9,GB%,SwSt%,FIP,BF,G,GS,IP,H,HR,ER,BB,K,GO/AO,ERA,WHIP
Tristan Stevens,26,"6' 2""",200,AAA,MIA,4.5,4.5,-,-,4.45,17,1,1,4.0,3,0,0,2,2,0.29,0.0,1.25
Jake Bloss,23,"6' 3""",223,AAA,HOU,0.0,6.8,-,-,1.7,13,1,1,4.0,1,0,0,0,3,0.8,0.0,0.25
Brock Stewart,32,"6' 3""",220,AAA,MIN,4.5,18.0,-,-,3.95,15,4,-,4.0,2,1,1,2,8,0.0,2.25,1.0
Hunter Stratton,27,"6' 4""",225,AAA,PIT,2.3,9.0,-,-,1.95,15,3,-,4.0,2,0,0,1,4,1.67,0.0,0.75
Dominic Leone,32,"5' 10""",215,AAA,CWS,0.0,15.8,-,-,0.45,17,4,-,4.0,4,0,2,0,7,0.67,4.5,1.0
Kyle Cody,30,"6' 7""",225,AAA,SF,13.5,11.3,-,-,5.95,26,3,-,4.0,6,0,4,6,5,1.0,9.0,3.0
Adrian Hernandez,24,"5' 8""",190,AAA,TOR,13.5,11.3,-,-,7.45,30,4,-,4.0,8,0,10,6,5,0.6,22.5,3.5
Ryan Boyer,27,"6' 2""",225,AAA,TOR,9.0,9.0,-,-,10.7,24,4,-,4.0,7,2,8,4,4,0.8,18.0,2.75
Reynaldo López,30,"6' 1""",225,AAA,ATL,2.3,9.0,-,-,2.7,19,1,1,4.0,6,0,3,1,4,0.75,6.75,1.75
Jameson Taillon,32,"6' 5""",230,AAA,CHC,2.5,9.8,33%,13.2%,1.64,16,1,1,3.2,3,0,0,1,4,0.6,0.0,1.09
Jake Sommers,27,"6' 2""",190,AAA,COL,9.8,12.3,60%,13.7%,3.83,19,3,-,3.2,5,0,3,4,5,0.67,7.36,2.45
J.P. France,29,"6' 0""",198,AAA,HOU,9.8,7.4,64%,9.9%,5.08,19,1,1,3.2,4,0,3,4,3,0.6,7.36,2.18
Riley Unroe,29,"5' 10""",180,AAA,DET,4.9,0.0,25%,1.8%,18.2,25,2,-,3.2,12,3,12,2,0,1.5,29.45,3.82
Steven Wilson,30,"6' 3""",221,AAA,CWS,7.4,12.3,-,-,11.01,21,4,-,3.2,8,2,5,3,5,1.5,12.27,3.0
Kevin Smith,28,"5' 11""",190,AAA,NYY,0.0,0.0,-,-,3.2,17,2,-,3.2,7,0,2,0,0,0.67,4.91,1.91
JT Brubaker,30,"6' 3""",180,AAA,NYY,14.7,4.9,-,-,11.64,18,2,2,3.2,2,1,3,6,2,1.67,7.36,2.18
Julian Merryweather,32,"6' 4""",215,AAA,CHC,0.0,12.3,-,-,0.08,16,3,-,3.2,5,0,1,0,5,5.0,2.45,1.36
Nick Krauth,24,"6' 3""",170,AAA,TEX,4.9,2.5,-,-,9.45,16,1,-,3.2,3,1,2,2,1,0.5,4.91,1.36
Sean Poppen,30,"6' 3""",210,AAA,SEA,5.4,13.5,14%,14.6%,10.3,16,2,-,3.1,4,2,4,2,5,4.0,10.8,1.8
Mark Washington,28,"6' 7""",205,AAA,HOU,16.2,5.4,-,-,12.88,22,3,-,3.1,5,1,8,6,2,0.6,21.6,3.3
Daniel Martinez,26,"5' 11""",190,AAA,ATL,10.8,8.1,30%,12.8%,14.49,19,1,-,3.1,3,2,7,4,3,1.33,18.9,2.1
Max McDowell,30,"6' 1""",208,AAA,TOR,8.1,8.1,29%,5.9%,8.36,24,3,-,3.1,11,1,9,3,3,2.5,24.3,4.2
Justin Steele,29,"6' 2""",205,AAA,CHC,2.7,10.8,17%,11.1%,1.59,17,1,1,3.1,6,0,3,1,4,0.0,8.1,2.1
Jonny Cuevas,23,"6' 3""",200,AAA,TB,18.9,8.1,33%,10.0%,8.04,20,2,-,3.1,3,0,7,7,3,2.5,18.9,3.0
Patrick Wicklander,24,"6' 1""",205,AAA,TB,16.2,2.7,43%,4.7%,12.56,21,2,-,3.1,6,1,6,6,1,1.0,16.2,3.6
Dylan Shockley,27,"5' 10""",195,AAA,PIT,5.4,0.0,20%,0.0%,9.33,20,3,-,3.1,8,1,8,2,0,0.67,21.6,3.0
Nick Maton,27,"6' 1""",178,AAA,BAL,8.1,0.0,-,-,7.07,17,4,-,3.1,3,0,2,3,0,2.33,5.4,1.8
Benito Garcia,24,"6' 0""",165,AAA,STL,5.4,2.7,-,-,12.88,18,1,-,3.1,6,2,3,2,1,0.5,8.1,2.4
Paul Blackburn,30,"6' 1""",196,AAA,OAK,8.1,5.4,-,-,9.97,23,2,1,3.1,9,1,5,3,2,1.67,13.5,3.6
Angel Chivilli,22,"6' 2""",162,AAA,COL,0.0,13.5,-,-,0.0,11,3,-,3.1,0,0,0,0,5,1.0,0.0,0.0
Reed Garrett,31,"6' 2""",195,AAA,NYM,3.0,21.0,67%,16.1%,0.0,12,2,-,3.0,2,0,0,1,7,1.0,0.0,1.0
Corbin Martin,28,"6' 2""",225,AAA,AZ,9.0,9.0,88%,14.1%,8.53,14,2,-,3.0,3,1,3,3,3,0.0,9.0,2.0
Cory Abbott,28,"6' 2""",217,AAA,SEA,6.0,6.0,30%,6.3%,12.53,14,1,1,3.0,4,2,3,2,2,2.0,9.0,2.0
Carson Fulmer,30,"6' 0""",210,AAA,LAA,6.0,6.0,10%,6.3%,3.87,15,1,1,3.0,3,0,1,2,2,3.0,3.0,1.67
Wade Miley,37,"6' 1""",220,AAA,MIL,6.0,9.0,75%,9.1%,3.2,13,1,1,3.0,2,0,1,2,3,0.2,3.0,1.33
Josh VanMeter,29,"5' 10""",198,AAA,NYY,3.0,9.0,40%,0.0%,7.53,19,3,-,3.0,6,1,5,1,3,0.6,15.0,2.33
Caleb Thielbar,37,"6' 0""",205,AAA,MIN,3.0,15.0,40%,25.5%,5.2,11,2,-,3.0,2,1,1,1,5,0.5,3.0,1.0
Matt Givin,25,"6' 3""",180,AAA,NYY,6.0,9.0,33%,17.0%,3.2,14,1,-,3.0,2,0,0,2,3,1.33,0.0,1.33
Fitz Stadler,27,"6' 9""",230,AAA,TOR,27.0,15.0,50%,6.5%,9.87,20,3,-,3.0,1,0,5,9,5,3.0,15.0,3.33
Nick Pivetta,31,"6' 5""",210,AAA,BOS,12.0,15.0,14%,9.7%,3.87,16,1,1,3.0,3,0,4,4,5,3.0,12.0,2.33
Chad Green,33,"6' 3""",215,AAA,TOR,3.0,3.0,30%,5.7%,3.53,12,3,-,3.0,2,0,0,1,1,1.67,0.0,1.0
Kenta Maeda,36,"6' 1""",185,AAA,DET,0.0,18.0,17%,24.5%,0.0,13,1,1,3.0,3,0,1,0,6,1.0,3.0,1.0
Jay Jackson,36,"6' 1""",195,AAA,MIN,0.0,6.0,-,-,1.87,10,3,-,3.0,2,0,1,0,2,0.5,3.0,0.67
Taylor Rashi,28,"6' 4""",220,AAA,AZ,6.0,9.0,0%,9.1%,3.2,14,2,-,3.0,3,0,1,2,3,1.0,3.0,1.67
Hernán Pérez,33,"6' 0""",213,AAA,CIN,6.0,0.0,-,-,6.2,22,3,-,3.0,10,0,7,2,0,8.0,21.0,4.0
Garrett Schoenle,26,"6' 5""",185,AAA,CWS,3.0,12.0,-,-,1.53,10,1,1,3.0,0,0,0,1,4,0.67,0.0,0.33
Alex Faedo,28,"6' 5""",225,AAA,DET,12.0,12.0,-,-,4.53,17,3,1,3.0,4,0,1,4,4,4.0,3.0,2.67
Jesús Liranzo,29,"6' 2""",248,AAA,NYY,3.0,9.0,-,-,2.2,11,2,-,3.0,1,0,0,1,3,5.0,0.0,0.67
Jacob Watters,23,"6' 4""",230,AAA,OAK,15.0,0.0,-,-,8.2,15,1,-,3.0,3,0,3,5,0,1.33,9.0,2.67
Julio Rodriguez,24,"6' 3""",180,AAA,SF,0.0,9.0,-,-,5.53,11,2,-,3.0,3,1,1,0,3,0.0,3.0,1.0
Miguel Castro,29,"6' 7""",201,AAA,AZ,6.0,6.0,-,-,3.87,11,2,-,3.0,1,0,0,2,2,2.0,0.0,1.0
Heath Hembree,35,"6' 4""",220,AAA,SEA,0.0,12.0,-,-,4.87,10,3,-,3.0,1,1,1,0,4,1.5,3.0,0.33
José Quijada,28,"5' 11""",215,AAA,LAA,12.0,6.0,-,-,5.87,12,4,-,3.0,1,0,0,4,2,0.25,0.0,1.67
